get_annotations:EMD-3583	PDB-CPX-12971	CPX-1411		PDB_ID
get_annotations:EMD-20542	PDB-CPX-13707	CPX-5769		PDB_ID
get_annotations:EMD-20543	PDB-CPX-13707	CPX-5769		PDB_ID
get_annotations:EMD-20544	PDB-CPX-13707	CPX-5769		PDB_ID
get_annotations:EMD-20545	PDB-CPX-13707	CPX-5769		PDB_ID
get_annotations:EMD-6704	PDB-CPX-13857	CPX-5768		PDB_ID
get_annotations:EMD-6706	PDB-CPX-13857	CPX-5768		PDB_ID
get_annotations:EMD-6707	PDB-CPX-13857	CPX-5768		PDB_ID
get_annotations:EMD-6896	PDB-CPX-26581	CPX-6123		PDB_ID
get_annotations:EMD-2594	PDB-CPX-26950	CPX-2262		PDB_ID
get_annotations:EMD-2595	PDB-CPX-26950	CPX-2262		PDB_ID
get_annotations:EMD-2596	PDB-CPX-26950	CPX-2262		PDB_ID
get_annotations:EMD-20846	PDB-CPX-29361	CPX-261		PDB_ID
get_annotations:EMD-20847	PDB-CPX-29361	CPX-261		PDB_ID
get_annotations:EMD-8511	PDB-CPX-29361	CPX-261		PDB_ID
get_annotations:EMD-7465	PDB-CPX-29890	CPX-6226		PDB_ID
get_annotations:EMD-21533	PDB-CPX-30109	CPX-2955		PDB_ID
get_annotations:EMD-21685	PDB-CPX-30109	CPX-2955		PDB_ID
get_annotations:EMD-30300	PDB-CPX-30109	CPX-2955		PDB_ID
get_annotations:EMD-20822	PDB-CPX-30110	CPX-2955		PDB_ID
get_annotations:EMD-20823	PDB-CPX-30110	CPX-2955		PDB_ID
get_annotations:EMD-20824	PDB-CPX-30110	CPX-2955		PDB_ID
get_annotations:EMD-21219	PDB-CPX-30110	CPX-2955		PDB_ID
get_annotations:EMD-30323	PDB-CPX-30110	CPX-2955		PDB_ID
get_annotations:EMD-30324	PDB-CPX-30110	CPX-2955		PDB_ID
get_annotations:EMD-30472	PDB-CPX-30110	CPX-2955		PDB_ID
